Sr No,Payer,Dealer Name,Product,Invoice No,Invoice Date,Invoice Amount,Discounting Date,RM/ASE/ASM,Region,Rec, Gross Collection , Balance O/s ,Collection Date,Due Date,Usance till Collection Days,Discounting Tenure,Rate,Disc Chrges for Discouting Tenure,Early Collection Days,Collection Incentive on Amount Received,Net Amount Received
3743,31E6150,TAFE ACCESS LIMITED,PVBU17,9075318131,25 Apr 17," 3,95,406 ",20-Jun-17,Ganesh R,South,Rec," 3,95,406 ", -   ,29-Aug-17,18-Oct-17, 70 , 120 ,10.75%,"13,974.61", 50 ," 5,822.75 "," 3,89,582.82 "
3744,31E5630,APEX MOTORS,PVBU17,9075331079,13 Jun 17," 3,95,481 ",20-Jun-17,Puneet Garg,NORTH,Rec," 3,95,481 ", -   ,29-Aug-17,18-Oct-17, 70 , 120 ,10.75%,"13,977.29", 50 ," 5,823.87 "," 3,89,657.47 "
3745,31E6070,MARINA MOTORS (INDIA) P LTD,PVBU17,9075319530,27 Apr 17," 4,14,475 ",20-Jun-17,Melbin Anthony,SOUTH,Rec," 4,14,475 ", -   ,29-Aug-17,18-Oct-17, 70 , 120 ,10.75%,"14,648.56", 50 ," 6,103.57 "," 4,08,371.14 "
3746,31E6070,MARINA MOTORS (INDIA) P LTD,PVBU17,9075319540,27 Apr 17," 4,14,475 ",20-Jun-17,Melbin Anthony,SOUTH,Rec," 4,14,475 ", -   ,29-Aug-17,18-Oct-17, 70 , 120 ,10.75%,"14,648.56", 50 ," 6,103.57 "," 4,08,371.14 "
3747,31E6070,MARINA MOTORS (INDIA) P LTD,PVBU17,9075319544,27 Apr 17," 4,14,475 ",20-Jun-17,Melbin Anthony,SOUTH,Rec," 4,14,475 ", -   ,29-Aug-17,18-Oct-17, 70 , 120 ,10.75%,"14,648.56", 50 ," 6,103.57 "," 4,08,371.14 "
3748,31E6070,MARINA MOTORS (INDIA) P LTD,PVBU17,9075319764,27 Apr 17," 4,14,475 ",20-Jun-17,Melbin Anthony,SOUTH,Rec," 4,14,475 ", -   ,29-Aug-17,18-Oct-17, 70 , 120 ,10.75%,"14,648.56", 50 ," 6,103.57 "," 4,08,371.14 "
3749,31E6070,MARINA MOTORS (INDIA) P LTD,PVBU17,9075319765,27 Apr 17," 4,14,475 ",20-Jun-17,Melbin Anthony,SOUTH,Rec," 4,14,475 ", -   ,29-Aug-17,18-Oct-17, 70 , 120 ,10.75%,"14,648.56", 50 ," 6,103.57 "," 4,08,371.14 "
3750,31E6070,MARINA MOTORS (INDIA) P LTD,PVBU17,9075319640,27 Apr 17," 4,19,694 ",20-Jun-17,Melbin Anthony,SOUTH,Rec," 4,19,694 ", -   ,29-Aug-17,18-Oct-17, 70 , 120 ,10.75%,"14,833.01", 50 ," 6,180.42 "," 4,13,513.28 "
3751,31E6150,TAFE ACCESS LIMITED,PVBU17,9075318129,25 Apr 17," 4,28,478 ",20-Jun-17,Ganesh R,South,Rec," 4,28,478 ", -   ,29-Aug-17,18-Oct-17, 70 , 120 ,10.75%,"15,143.47", 50 ," 6,309.78 "," 4,22,168.20 "
3752,31E6150,TAFE ACCESS LIMITED,PVBU17,9075318130,25 Apr 17," 4,28,478 ",20-Jun-17,Ganesh R,South,Rec," 4,28,478 ", -   ,29-Aug-17,18-Oct-17, 70 , 120 ,10.75%,"15,143.47", 50 ," 6,309.78 "," 4,22,168.20 "
3753,31E5630,APEX MOTORS,PVBU17,9075331459,15 Jun 17," 4,43,875 ",20-Jun-17,Puneet Garg,NORTH,Rec," 4,43,875 ", -   ,29-Aug-17,18-Oct-17, 70 , 120 ,10.75%,"15,687.62", 50 ," 6,536.51 "," 4,37,338.03 "
3754,31E6150,TAFE ACCESS LIMITED,PVBU17,9075318132,25 Apr 17," 4,64,921 ",20-Jun-17,Ganesh R,South,Rec," 4,64,921 ", -   ,29-Aug-17,18-Oct-17, 70 , 120 ,10.75%,"16,431.47", 50 ," 6,846.45 "," 4,58,075.04 "
3755,31E6150,TAFE ACCESS LIMITED,PVBU17,9075318133,25 Apr 17," 4,64,921 ",20-Jun-17,Ganesh R,South,Rec," 4,64,921 ", -   ,29-Aug-17,18-Oct-17, 70 , 120 ,10.75%,"16,431.47", 50 ," 6,846.45 "," 4,58,075.04 "
3756,31E6150,TAFE ACCESS LIMITED,PVBU17,9075318134,25 Apr 17," 4,64,921 ",20-Jun-17,Ganesh R,South,Rec," 4,64,921 ", -   ,29-Aug-17,18-Oct-17, 70 , 120 ,10.75%,"16,431.47", 50 ," 6,846.45 "," 4,58,075.04 "
3757,31E6070,MARINA MOTORS (INDIA) P LTD,PVBU17,9075319745,27 Apr 17," 4,76,859 ",20-Jun-17,Melbin Anthony,SOUTH,Rec," 4,76,859 ", -   ,29-Aug-17,18-Oct-17, 70 , 120 ,10.75%,"16,853.38", 50 ," 7,022.24 "," 4,69,836.95 "
3758,31E6070,MARINA MOTORS (INDIA) P LTD,PVBU17,9075319669,27 Apr 17," 4,91,260 ",20-Jun-17,Melbin Anthony,SOUTH,Rec," 4,91,260 ", -   ,29-Aug-17,18-Oct-17, 70 , 120 ,10.75%,"17,362.35", 50 ," 7,234.31 "," 4,84,025.97 "
3759,31E6070,MARINA MOTORS (INDIA) P LTD,PVBU17,9075319710,27 Apr 17," 5,18,826 ",20-Jun-17,Melbin Anthony,SOUTH,Rec," 5,18,826 ", -   ,29-Aug-17,18-Oct-17, 70 , 120 ,10.75%,"18,336.58", 50 ," 7,640.24 "," 5,11,185.47 "
3760,31E6070,MARINA MOTORS (INDIA) P LTD,PVBU17,9075319711,27 Apr 17," 5,18,826 ",20-Jun-17,Melbin Anthony,SOUTH,Rec," 5,18,826 ", -   ,29-Aug-17,18-Oct-17, 70 , 120 ,10.75%,"18,336.58", 50 ," 7,640.24 "," 5,11,185.47 "
3761,31E6070,MARINA MOTORS (INDIA) P LTD,PVBU17,9075319712,27 Apr 17," 5,18,826 ",20-Jun-17,Melbin Anthony,SOUTH,Rec," 5,18,826 ", -   ,29-Aug-17,18-Oct-17, 70 , 120 ,10.75%,"18,336.58", 50 ," 7,640.24 "," 5,11,185.47 "
3762,31E2820,YASHRAJ MOTORS PVT LTD,PVBU19,9075335631,28 Jun 17," 3,63,268 ",30-Jun-17,prashant kumar ,EAST,Rec," 3,63,268 ", -   ,29-Aug-17,28-Oct-17, 60 , 120 ,10.75%,"12,838.77", 60 ," 6,419.39 "," 3,56,848.14 "
3763,31E2820,YASHRAJ MOTORS PVT LTD,PVBU19,9075335617,28 Jun 17," 4,37,901 ",30-Jun-17,prashant kumar ,EAST,Rec," 4,37,901 ", -   ,29-Aug-17,28-Oct-17, 60 , 120 ,10.75%,"15,476.50", 60 ," 7,738.25 "," 4,30,162.64 "
3764,31E2820,YASHRAJ MOTORS PVT LTD,PVBU19,9075335618,28 Jun 17," 4,37,901 ",30-Jun-17,prashant kumar ,EAST,Rec," 4,37,901 ", -   ,29-Aug-17,28-Oct-17, 60 , 120 ,10.75%,"15,476.50", 60 ," 7,738.25 "," 4,30,162.64 "
3765,F1E4830,URS KAR SERVICE CENTRE (P) LTD,PVBU11,797576572,28 Feb 17," 4,55,067 ",23-Mar-17,Manjunatha Balaraju,SOUTH,Rec," 4,55,067 ", -   ,31-Aug-17,21-Jul-17, 161 , 120 ,10.75%,"16,083.19", (41)," (5,495.09)"," 4,60,562.06 "
3766,F1E4830,URS KAR SERVICE CENTRE (P) LTD,PVBU11,797576573,28 Feb 17," 4,55,067 ",23-Mar-17,Manjunatha Balaraju,SOUTH,Rec," 4,55,067 ", -   ,31-Aug-17,21-Jul-17, 161 , 120 ,10.75%,"16,083.19", (41)," (5,495.09)"," 4,60,562.06 "
3767,F1E4830,URS KAR SERVICE CENTRE (P) LTD,PVBU11,797576574,28 Feb 17," 4,55,067 ",23-Mar-17,Manjunatha Balaraju,SOUTH,Rec," 4,55,067 ", -   ,31-Aug-17,21-Jul-17, 161 , 120 ,10.75%,"16,083.19", (41)," (5,495.09)"," 4,60,562.06 "
3768,F1E4830,URS KAR SERVICE CENTRE (P) LTD,PVBU11,797576575,28 Feb 17," 4,55,067 ",23-Mar-17,Manjunatha Balaraju,SOUTH,Rec," 4,55,067 ", -   ,31-Aug-17,21-Jul-17, 161 , 120 ,10.75%,"16,083.19", (41)," (5,495.09)"," 4,60,562.06 "
3769,F1E4830,URS KAR SERVICE CENTRE (P) LTD,PVBU11,797576576,28 Feb 17," 4,55,067 ",23-Mar-17,Manjunatha Balaraju,SOUTH,Rec," 4,55,067 ", -   ,31-Aug-17,21-Jul-17, 161 , 120 ,10.75%,"16,083.19", (41)," (5,495.09)"," 4,60,562.06 "
3770,F1E4830,URS KAR SERVICE CENTRE (P) LTD,PVBU11,797576577,28 Feb 17," 4,55,067 ",23-Mar-17,Manjunatha Balaraju,SOUTH,Rec," 4,55,067 ", -   ,31-Aug-17,21-Jul-17, 161 , 120 ,10.75%,"16,083.19", (41)," (5,495.09)"," 4,60,562.06 "
3771,F1E4830,URS KAR SERVICE CENTRE (P) LTD,PVBU11,797576578,28 Feb 17," 4,55,067 ",23-Mar-17,Manjunatha Balaraju,SOUTH,Rec," 4,55,067 ", -   ,31-Aug-17,21-Jul-17, 161 , 120 ,10.75%,"16,083.19", (41)," (5,495.09)"," 4,60,562.06 "
3772,F1E4830,URS KAR SERVICE CENTRE (P) LTD,PVBU11,797576579,28 Feb 17," 4,92,039 ",23-Mar-17,Manjunatha Balaraju,SOUTH,Rec," 4,92,039 ", -   ,31-Aug-17,21-Jul-17, 161 , 120 ,10.75%,"17,389.86", (41)," (5,941.54)"," 4,97,980.18 "
3773,F1E4830,URS KAR SERVICE CENTRE (P) LTD,PVBU11,797576580,28 Feb 17," 4,92,039 ",23-Mar-17,Manjunatha Balaraju,SOUTH,Rec," 4,92,039 ", -   ,31-Aug-17,21-Jul-17, 161 , 120 ,10.75%,"17,389.86", (41)," (5,941.54)"," 4,97,980.18 "
3774,F1E4830,URS KAR SERVICE CENTRE (P) LTD,PVBU11,797576581,28 Feb 17," 4,92,039 ",23-Mar-17,Manjunatha Balaraju,SOUTH,Rec," 4,92,039 ", -   ,31-Aug-17,21-Jul-17, 161 , 120 ,10.75%,"17,389.86", (41)," (5,941.54)"," 4,97,980.18 "
3775,F1E4830,URS KAR SERVICE CENTRE (P) LTD,PVBU11,797576582,28 Feb 17," 4,92,039 ",23-Mar-17,Manjunatha Balaraju,SOUTH,Rec," 4,92,039 ", -   ,31-Aug-17,21-Jul-17, 161 , 120 ,10.75%,"17,389.86", (41)," (5,941.54)"," 4,97,980.18 "
3776,F1E4830,URS KAR SERVICE CENTRE (P) LTD,PVBU11,797576583,28 Feb 17," 4,92,039 ",23-Mar-17,Manjunatha Balaraju,SOUTH,Rec," 4,92,039 ", -   ,31-Aug-17,21-Jul-17, 161 , 120 ,10.75%,"17,389.86", (41)," (5,941.54)"," 4,97,980.18 "
3777,1102440,BUDHIA AGENCIES PVT LTD,CVBU17,800801753,31 Jul 17," 2,90,763 ",31-Jul-17,prashant kumar ,EAST,Rec," 2,90,763 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"3,602.68", 14 ," 1,120.83 "," 2,89,642.45 "
3778,1102440,BUDHIA AGENCIES PVT LTD,CVBU17,800801754,31 Jul 17," 2,90,763 ",31-Jul-17,prashant kumar ,EAST,Rec," 2,90,763 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"3,602.68", 14 ," 1,120.83 "," 2,89,642.45 "
3779,1102440,BUDHIA AGENCIES PVT LTD,CVBU17,800801756,31 Jul 17," 2,90,763 ",31-Jul-17,prashant kumar ,EAST,Rec," 2,90,763 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"3,602.68", 14 ," 1,120.83 "," 2,89,642.45 "
3780,1102440,BUDHIA AGENCIES PVT LTD,CVBU17,800801758,31 Jul 17," 2,90,763 ",31-Jul-17,prashant kumar ,EAST,Rec," 2,90,763 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"3,602.68", 14 ," 1,120.83 "," 2,89,642.45 "
3781,1102440,BUDHIA AGENCIES PVT LTD,CVBU17,800801759,31 Jul 17," 2,90,763 ",31-Jul-17,prashant kumar ,EAST,Rec," 2,90,763 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"3,602.68", 14 ," 1,120.83 "," 2,89,642.45 "
3782,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462021,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3783,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462022,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3784,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462023,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3785,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462024,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3786,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462025,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3787,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462026,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3788,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462027,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3789,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462028,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3790,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462029,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3791,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462030,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3792,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462032,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3793,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462034,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3794,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462036,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3795,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462039,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3796,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462042,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3797,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462044,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3798,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462046,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3799,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462047,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3800,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462049,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3801,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462050,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3802,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462052,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3803,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462053,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3804,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462058,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3805,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462060,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3806,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462063,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3807,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462066,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3808,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462068,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3809,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462071,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3810,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462074,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3811,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462077,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3812,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462080,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3813,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462081,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3814,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462083,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3815,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462085,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3816,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462087,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3817,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462522,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3818,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462524,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3819,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462526,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3820,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462529,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3821,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462532,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3822,1102450,PRERANA MOTORS PVT LTD,CVBU17,709462535,31 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,SOUTH,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3823,1104040,PATIL TRUCKS PVT LTD,CVBU17,709460677,29 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,South,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3824,1104040,PATIL TRUCKS PVT LTD,CVBU17,709460767,29 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,South,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3825,1104040,PATIL TRUCKS PVT LTD,CVBU17,709460768,29 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,South,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3826,1104040,PATIL TRUCKS PVT LTD,CVBU17,709460769,29 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,South,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3827,1104040,PATIL TRUCKS PVT LTD,CVBU17,709460770,29 Jul 17," 3,84,573 ",31-Jul-17,Manjunatha Balaraju,South,Rec," 3,84,573 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,765.02", 14 ," 1,482.45 "," 3,83,090.64 "
3828,1104040,PATIL TRUCKS PVT LTD,CVBU17,709460673,29 Jul 17," 3,99,351 ",31-Jul-17,Manjunatha Balaraju,South,Rec," 3,99,351 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,948.12", 14 ," 1,539.42 "," 3,97,811.62 "
3829,1104040,PATIL TRUCKS PVT LTD,CVBU17,709460674,29 Jul 17," 3,99,351 ",31-Jul-17,Manjunatha Balaraju,South,Rec," 3,99,351 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,948.12", 14 ," 1,539.42 "," 3,97,811.62 "
3830,1104040,PATIL TRUCKS PVT LTD,CVBU17,709460675,29 Jul 17," 3,99,351 ",31-Jul-17,Manjunatha Balaraju,South,Rec," 3,99,351 ", -   ,31-Aug-17,14-Sep-17, 31 , 45 ,10.05%,"4,948.12", 14 ," 1,539.42 "," 3,97,811.62 "
